HTP,home_avg_FTHG,home_avg_HS,home_avg_HST,home_avg_HC,home_avg_HP,home_avg_HCS,H_golas/shot,home_avg_HP_squared,ATP,away_avg_FTAG,away_avg_AS,away_avg_AST,away_avg_AC,away_avg_AP,away_avg_ACS,A_goals/shot,away_avg_AP_squared,diff_avg_FTHG,diff_avg_points,diff_avg_total_points,diff_avg_CS
35,1.8,15.0,5.0,5.4,2.2,0.4,0.12000000000000001,4.840000000000001,20,0.8,9.2,2.6,4.4,0.8,0.2,0.08695652173913045,0.6400000000000001,1.0,1.4000000000000001,15,0.2
26,1.2,12.6,3.2,5.2,1.0,0.2,0.09523809523809523,1.0,15,1.0,10.6,2.8,4.4,0.8,0.2,0.09433962264150944,0.6400000000000001,0.19999999999999996,0.19999999999999996,11,0.0
22,0.8,12.6,3.4,6.0,1.2,0.2,0.0634920634920635,1.44,5,0.6,11.2,3.8,4.6,0.6,0.2,0.053571428571428575,0.36,0.20000000000000007,0.6,17,0.0
26,2.0,15.6,5.6,6.4,1.2,0.0,0.12820512820512822,1.44,16,1.0,12.6,3.6,5.4,1.8,0.6,0.07936507936507936,3.24,1.0,-0.6000000000000001,10,-0.6
10,1.2,13.4,4.6,4.8,0.2,0.0,0.08955223880597014,0.04000000000000001,16,1.0,10.2,4.4,4.0,1.4,0.4,0.09803921568627452,1.9599999999999997,0.19999999999999996,-1.2,-6,-0.4
23,1.6,14.6,3.4,6.6,1.6,0.2,0.10958904109589042,2.5600000000000005,21,1.6,14.8,4.8,3.2,1.6,0.2,0.10810810810810811,2.5600000000000005,0.0,0.0,2,0.0
29,0.6,17.0,3.8,7.0,0.8,0.2,0.03529411764705882,0.6400000000000001,14,0.6,6.8,2.6,2.8,0.8,0.2,0.08823529411764706,0.6400000000000001,0.0,0.0,15,0.0
19,1.0,13.0,4.0,5.8,1.0,0.2,0.07692307692307693,1.0,21,1.0,14.8,3.6,7.0,1.4,0.6,0.06756756756756756,1.9599999999999997,0.0,-0.3999999999999999,-2,-0.39999999999999997
14,0.2,15.8,3.0,5.8,0.8,0.6,0.012658227848101266,0.6400000000000001,9,1.0,7.4,2.0,2.6,1.0,0.0,0.13513513513513511,1.0,-0.8,-0.19999999999999996,5,0.6
35,1.8,15.0,5.0,5.4,2.2,0.4,0.12000000000000001,4.840000000000001,29,2.2,13.2,4.8,6.6,1.8,0.4,0.16666666666666669,3.24,-0.40000000000000013,0.40000000000000013,6,0.0
16,0.8,14.2,3.6,6.0,1.0,0.6,0.05633802816901409,1.0,16,1.8,10.8,4.2,4.0,1.8,0.4,0.16666666666666666,3.24,-1.0,-0.8,0,0.19999999999999996
24,0.8,12.0,3.8,5.4,1.0,0.0,0.06666666666666667,1.0,25,2.4,12.6,5.8,7.6,1.8,0.0,0.19047619047619047,3.24,-1.5999999999999999,-0.8,-1,0.0
25,1.6,15.4,4.8,5.6,1.8,0.2,0.1038961038961039,3.24,10,1.4,11.2,3.8,2.8,0.8,0.2,0.125,0.6400000000000001,0.20000000000000018,1.0,15,0.0
11,1.4,12.2,3.0,3.4,0.6,0.2,0.11475409836065574,0.36,25,1.2,15.4,4.4,6.4,1.6,0.2,0.07792207792207792,2.5600000000000005,0.19999999999999996,-1.0,-14,0.0
