team_h,team_a,HomeTeam,AwayTeam
13,8,Man City,Crystal Palace
5,10,Brentford,Fulham
11,20,Leeds,Wolves
15,4,Newcastle,Bournemouth
18,6,Tottenham,Brighton
7,14,Chelsea,Man United
2,17,Aston Villa,Sunderland
9,12,Everton,Liverpool
16,3,Nott'm Forest,Burnley
13,1,Man City,Arsenal
8,19,Crystal Palace,West Ham
6,7,Brighton,Chelsea
4,11,Bournemouth,Leeds
3,13,Burnley,Man City
17,16,Sunderland,Nott'm Forest
10,2,Fulham,Aston Villa
12,8,Liverpool,Crystal Palace
19,9,West Ham,Everton
20,18,Wolves,Tottenham
1,15,Arsenal,Newcastle
14,5,Man United,Brentford
11,3,Leeds,Burnley
2,18,Aston Villa,Tottenham
4,8,Bournemouth,Crystal Palace
5,19,Brentford,West Ham
15,6,Newcastle,Brighton
20,17,Wolves,Sunderland
1,10,Arsenal,Fulham
14,12,Man United,Liverpool
7,16,Chelsea,Nott'm Forest
9,13,Everton,Man City
12,7,Liverpool,Chelsea
6,20,Brighton,Wolves
3,2,Burnley,Aston Villa
8,9,Crystal Palace,Everton
10,4,Fulham,Bournemouth
17,14,Sunderland,Man United
13,5,Man City,Brentford
16,15,Nott'm Forest,Newcastle
19,1,West Ham,Arsenal
18,11,Tottenham,Leeds
1,3,Arsenal,Burnley
2,12,Aston Villa,Liverpool
4,13,Bournemouth,Man City
5,8,Brentford,Crystal Palace
7,18,Chelsea,Tottenham
9,17,Everton,Sunderland
11,6,Leeds,Brighton
14,16,Man United,Nott'm Forest
15,19,Newcastle,West Ham
20,10,Wolves,Fulham
6,14,Brighton,Man United
3,20,Burnley,Wolves
8,1,Crystal Palace,Arsenal
10,15,Fulham,Newcastle
12,5,Liverpool,Brentford
13,2,Man City,Aston Villa
16,4,Nott'm Forest,Bournemouth
18,9,Tottenham,Everton
17,7,Sunderland,Chelsea
19,11,West Ham,Leeds
