HomeTeam,HTP,home_avg_FTHG,home_avg_HS,home_avg_HST,home_avg_HC,home_avg_HP,home_avg_HCS,H_golas/shot,home_avg_HP_squared
Brentford,25,1.6,12.4,3.8,4.8,1.6,0.4,0.12903225806451613,2.5600000000000005
Chelsea,22,2.0,14.0,3.6,6.8,1.6,0.2,0.14285714285714285,2.5600000000000005
West Ham,11,1.4,11.0,3.4,4.8,1.0,0.0,0.12727272727272726,1.0
Crystal Palace,12,0.8,14.2,3.8,4.8,0.4,0.2,0.05633802816901409,0.16000000000000003
Nott'm Forest,13,0.4,15.6,3.8,6.2,0.6,0.4,0.025641025641025644,0.36
Sunderland,26,1.2,11.2,4.2,2.6,1.6,0.4,0.10714285714285715,2.5600000000000005
Tottenham,10,1.2,15.4,4.6,4.2,0.4,0.0,0.07792207792207792,0.16000000000000003
Burnley,10,1.0,13.0,2.8,3.4,0.6,0.2,0.07692307692307693,0.36
Liverpool,24,1.6,19.4,6.0,7.0,1.6,0.2,0.08247422680412372,2.5600000000000005
Man United,27,1.8,14.4,6.6,4.2,2.6,0.6,0.125,6.760000000000001
Arsenal,32,2.2,17.2,5.2,5.4,2.0,0.4,0.12790697674418605,4.0
Bournemouth,24,2.0,15.8,5.0,6.2,1.6,0.0,0.12658227848101264,2.5600000000000005
Everton,16,1.0,13.0,4.2,5.4,0.4,0.0,0.07692307692307693,0.16000000000000003
Leeds,22,1.0,11.2,3.2,5.4,1.4,0.2,0.08928571428571429,1.9599999999999997
Wolves,9,1.0,9.6,3.2,2.6,1.0,0.4,0.10416666666666667,1.0
Aston Villa,29,1.0,17.4,3.8,7.2,1.4,0.2,0.0574712643678161,1.9599999999999997
Brighton,24,1.2,12.8,4.0,5.4,1.6,0.2,0.09374999999999999,2.5600000000000005
Fulham,26,1.8,13.4,3.6,4.4,2.0,0.0,0.13432835820895522,4.0
Man City,35,1.8,15.0,5.0,5.4,2.2,0.4,0.12000000000000001,4.840000000000001
Newcastle,23,2.0,15.6,6.0,7.6,1.2,0.2,0.12820512820512822,1.44
