HTP,ATP,home_avg_FTHG,home_avg_HS,home_avg_HST,home_avg_HC,home_avg_HP,home_avg_HCS,away_avg_FTAG,away_avg_AS,away_avg_AST,away_avg_AC,away_avg_AP,away_avg_ACS,H_golas/shot,A_goals/shot,home_avg_HP_squared,away_avg_AP_squared,diff_avg_FTHG,diff_avg_points,diff_avg_total_points,diff_avg_CS,predicted_points
31,25,2.6,17.0,5.4,6.2,2.0,0.2,2.2,12.2,5.4,7.2,1.8,0.0,0.152941176470588,0.180327868852459,4.0,3.24,0.4,0.2,6,0.2,0
27,5,1.0,11.8,4.2,4.0,1.4,0.0,0.4,11.4,3.6,3.6,0.4,0.2,0.0847457627118644,0.0350877192982456,1.96,0.16,0.6,1.0,22,-0.2,0
29,19,1.6,15.6,4.4,6.0,1.8,0.0,1.2,12.0,3.8,4.4,2.2,0.6,0.102564102564103,0.1,3.24,4.84,0.4,-0.4,10,-0.6,0
29,22,1.0,12.8,3.0,3.8,1.2,0.4,1.6,11.6,3.8,3.6,1.6,0.2,0.078125,0.137931034482759,1.44,2.56,-0.6,-0.4,7,0.2,0
36,20,2.0,16.4,5.8,5.0,2.2,0.4,1.6,8.8,3.6,3.4,2.2,0.6,0.121951219512195,0.181818181818182,4.84,4.84,0.4,0.0,16,-0.2,0
11,23,1.0,12.8,3.8,4.6,0.4,0.2,1.0,11.2,4.8,4.6,1.0,0.2,0.078125,0.0892857142857143,0.16,1.0,0.0,-0.6,-12,0.0,2
19,25,1.2,14.2,3.6,5.8,1.4,0.4,1.6,11.0,4.4,3.2,1.6,0.0,0.0845070422535211,0.145454545454545,1.96,2.56,-0.4,-0.2,-6,0.4,0
15,16,0.4,17.6,3.8,6.4,0.8,0.4,1.2,11.2,4.4,6.6,1.2,0.2,0.0227272727272727,0.107142857142857,0.64,1.44,-0.8,-0.4,-1,0.2,0
16,32,1.8,11.8,3.8,4.6,1.8,0.4,2.4,11.6,4.6,5.4,2.2,0.4,0.152542372881356,0.206896551724138,3.24,4.84,-0.6,-0.4,-16,0.0,2
10,13,1.0,12.0,4.0,5.2,0.2,0.0,1.2,11.4,3.8,2.8,1.4,0.2,0.0833333333333333,0.105263157894737,0.04,1.96,-0.2,-1.2,-3,-0.2,2
36,23,2.0,16.4,5.8,5.0,2.2,0.4,1.4,10.4,4.2,4.6,1.4,0.2,0.121951219512195,0.134615384615385,4.84,1.96,0.6,0.8,13,0.2,0
35,24,1.8,15.6,4.6,5.4,2.0,0.4,1.2,15.6,5.0,7.6,1.8,0.4,0.115384615384615,0.0769230769230769,4.0,3.24,0.6,0.2,11,0.0,0
36,21,2.0,18.0,8.4,7.6,2.4,0.2,2.4,11.2,5.4,4.8,1.4,0.4,0.111111111111111,0.214285714285714,5.76,1.96,-0.4,1.0,15,-0.2,0
28,23,1.0,13.0,3.4,4.8,0.8,0.2,1.4,10.4,4.2,4.6,1.4,0.2,0.0769230769230769,0.134615384615385,0.64,1.96,-0.4,-0.6,5,0.0,0
22,17,1.4,12.4,5.6,5.4,1.2,0.4,1.4,8.6,4.4,3.4,1.4,0.2,0.112903225806452,0.162790697674419,1.44,1.96,0.0,-0.2,5,0.2,0
26,20,1.2,15.4,4.2,6.0,1.4,0.4,1.4,11.0,4.6,3.8,2.0,0.6,0.0779220779220779,0.127272727272727,1.96,4.0,-0.2,-0.6,6,-0.2,0
12,16,1.4,8.0,2.4,2.2,1.4,0.2,0.6,12.2,2.2,4.8,1.0,0.4,0.175,0.0491803278688525,1.96,1.0,0.8,0.4,-4,-0.2,2
26,17,1.6,14.6,4.6,5.8,0.6,0.0,1.0,8.8,3.2,4.8,1.4,0.6,0.10958904109589,0.113636363636364,0.36,1.96,0.6,-0.8,9,-0.6,0
41,9,1.8,15.8,4.8,7.0,2.4,0.6,1.2,7.6,3.4,4.0,0.8,0.0,0.113924050632911,0.157894736842105,5.76,0.64,0.6,1.6,32,0.6,0
27,31,1.2,17.4,5.6,8.0,1.0,0.2,1.6,20.2,7.0,9.0,2.6,0.6,0.0689655172413793,0.0792079207920792,1.0,6.76,-0.4,-1.6,-4,-0.4,2
23,23,0.6,17.2,3.0,6.4,0.4,0.0,0.6,11.0,3.6,4.6,0.8,0.2,0.0348837209302326,0.0545454545454545,0.16,0.64,0.0,-0.4,0,-0.2,2
27,22,1.0,11.8,4.2,4.0,1.4,0.0,1.6,11.6,3.8,3.6,1.6,0.2,0.0847457627118644,0.137931034482759,1.96,2.56,-0.6,-0.2,5,-0.2,0
11,5,1.0,12.8,3.8,4.6,0.4,0.2,0.4,11.4,3.6,3.6,0.4,0.2,0.078125,0.0350877192982456,0.16,0.16,0.6,0.0,6,0.0,0
19,32,1.2,14.2,3.6,5.8,1.4,0.4,2.4,11.6,4.6,5.4,2.2,0.4,0.0845070422535211,0.206896551724138,1.96,4.84,-1.2,-0.8,-13,0.0,1
29,16,1.6,15.6,4.4,6.0,1.8,0.0,1.2,11.2,4.4,6.6,1.2,0.2,0.102564102564103,0.107142857142857,3.24,1.44,0.4,0.6,13,-0.2,0
